entry_id,tester_id,created_at,keystroke_sequence
35c11ad0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874191101,"{""2"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""up"",""down"",""down"",""right"",""up"",""left"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""down"",""left"",""won""]}"
3c108d80-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874201688,"{""3"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""up"",""down"",""up"",""left"",""left"",""down"",""won"",""won"",""won"",""won""]}"
4ec90880-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874233096,"{""6"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""up"",""down"",""down"",""up"",""up"",""down"",""up"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""left"",""left"",""won""]}"
56f885d0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874246829,"{""7"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""up"",""down"",""down"",""won""]}"
5cf6f250-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874256885,"{""8"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""down"",""up"",""up"",""left"",""won""]}"
632dfb00-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874267312,"{""9"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""left"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""won""]}"
63472850-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874267477,"{""9"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""left"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""won"",""won"",""won""]}"
633aa530-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874267395,"{""9"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""left"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""won"",""won""]}"
67bb9970-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874274951,"{""10"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""up"",""left"",""left"",""left"",""won""]}"
67dae140-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874275156,"{""10"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""up"",""left"",""left"",""left"",""won"",""won""]}"
6d7cd5e0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874284606,"{""11"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""up"",""up"",""right"",""right"",""down"",""down"",""down"",""down"",""left"",""down"",""left"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""up"",""up"",""up"",""right"",""up"",""up"",""up"",""left"",""won""]}"
7218cc30-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874292339,"{""12"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""up"",""up"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""left"",""left"",""up"",""left"",""won""]}"
77b2f8a0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874301738,"{""13"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""down"",""left"",""left"",""left"",""down"",""down"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""left"",""right"",""right"",""right"",""right"",""down"",""won""]}"
7ace9080-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874306952,"{""14"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""right"",""down"",""down"",""down"",""down"",""left"",""up"",""left"",""up"",""left"",""left"",""left"",""won""]}"
8018ef40-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874315828,"{""15"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""down"",""left"",""left"",""up"",""left"",""up"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""won""]}"
85729040-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874324804,"{""16"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""right"",""right"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""down"",""left"",""left"",""down"",""won""]}"
86d9e870-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874327159,"{""17"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""won""]}"
86e692a0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874327242,"{""17"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""won"",""won""]}"
86f363e0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874327326,"{""17"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""won"",""won"",""won""]}"
87000e10-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874327409,"{""17"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""won"",""won"",""won"",""won""]}"
873ca1e0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874327806,"{""17"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""won"",""won"",""won"",""won"",""won""]}"
8da0d510-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874338529,"{""18"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""right"",""right"",""up"",""down"",""up"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""won""]}"
927392d0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874346621,"{""19"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""right"",""left"",""down"",""down"",""down"",""won""]}"
96304cb0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874352891,"{""20"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""won""]}"
963cf6e0-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874352974,"{""20"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""won"",""won""]}"
9649ef30-7a55-11ed-8ae6-13edafb97173,186b56d0-7a55-11ed-8ae6-13edafb97173,1670874353059,"{""20"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""won"",""won"",""won""]}"
