,entry_id,tester_id,created_at,keystroke_sequence
10,605c2e80-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776766824,"{""11"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""right"",""up"",""up"",""left"",""up"",""won""]}"
11,64c4b8c0-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776774220,"{""12"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""left"",""left"",""up"",""left"",""left"",""left"",""up"",""won""]}"
12,6a90a390-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776783945,"{""13"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""down"",""won""]}"
13,6e8fe4b0-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776790651,"{""14"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""left"",""left"",""left"",""won""]}"
14,79bee660-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776809414,"{""15"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""won""]}"
15,7eea4b70-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776818087,"{""16"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""left"",""left"",""won""]}"
16,80820270-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776820759,"{""17"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""won""]}"
17,86e12c90-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776831450,"{""18"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""won""]}"
18,8d400890-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776842137,"{""19"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""down"",""down"",""up"",""up"",""up"",""left"",""left"",""left"",""down"",""down"",""left"",""left"",""down"",""down"",""won""]}"
19,963b3a50-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776857205,"{""20"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""won""]}"
20,9abca3c0-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776864764,"{""21"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""up"",""won""]}"
21,9db32770-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776869735,"{""22"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""left"",""won""]}"
22,a1a87d80-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776876376,"{""23"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left"",""won""]}"
23,a76a0810-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776886033,"{""24"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""left"",""left"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""right"",""won""]}"
24,adedd130-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776896963,"{""25"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""up"",""up"",""left"",""up"",""up"",""up"",""down"",""down"",""left"",""left"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""right"",""right"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""up"",""left"",""left"",""down"",""down"",""left"",""won""]}"
25,b41a0470-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776907319,"{""26"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""up"",""up"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""left"",""left"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""won""]}"
26,b88267a0-7972-11ed-9421-5535258a0716,0e9aebe0-7972-11ed-9421-5535258a0716,1670776914714,"{""27"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""right"",""right"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""down"",""down"",""left"",""left"",""won""]}"
