entry_id,tester_id,created_at,keystroke_sequence
36852170-7981-11ed-85f5-65bf078e0635,20fb5e00-7981-11ed-85f5-65bf078e0635,1670783139079,"{""1"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""won""]}"
4aa060c0-7981-11ed-85f5-65bf078e0635,20fb5e00-7981-11ed-85f5-65bf078e0635,1670783172812,"{""2"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""down"",""right"",""up"",""left"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""left"",""left"",""down"",""left"",""won""]}"
5398d360-7981-11ed-85f5-65bf078e0635,20fb5e00-7981-11ed-85f5-65bf078e0635,1670783187862,"{""3"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""up"",""left"",""left"",""left"",""right"",""down"",""won""]}"
5aafdbd0-7981-11ed-85f5-65bf078e0635,20fb5e00-7981-11ed-85f5-65bf078e0635,1670783199757,"{""4"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""won""]}"
61c620f0-7981-11ed-85f5-65bf078e0635,20fb5e00-7981-11ed-85f5-65bf078e0635,1670783211647,"{""5"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""right"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""up"",""up"",""left"",""left"",""won""]}"
6985ec80-7981-11ed-85f5-65bf078e0635,20fb5e00-7981-11ed-85f5-65bf078e0635,1670783224648,"{""6"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""up"",""up"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""up"",""up"",""up"",""left"",""left"",""up"",""left"",""left"",""up"",""up"",""left"",""left"",""won""]}"
712ab600-7981-11ed-85f5-65bf078e0635,20fb5e00-7981-11ed-85f5-65bf078e0635,1670783237472,"{""7"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""down"",""won""]}"
7a3a8130-7981-11ed-85f5-65bf078e0635,20fb5e00-7981-11ed-85f5-65bf078e0635,1670783252675,"{""8"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""left"",""won""]}"
80dc0b80-7981-11ed-85f5-65bf078e0635,20fb5e00-7981-11ed-85f5-65bf078e0635,1670783263800,"{""9"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""won""]}"
95ddda40-7981-11ed-85f5-65bf078e0635,20fb5e00-7981-11ed-85f5-65bf078e0635,1670783299044,"{""10"":[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""right"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""right"",""down"",""won""]}"
